,CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
7833,40372196,MCDONALD'S,BRONX,3660,EAST TREMONT AVENUE                               ,10465,7188281430,Hamburgers,2015-05-01,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,9.0,A,2015-05-01,2015-08-14,Cycle Inspection / Re-inspection
7844,40372262,LA RIPAILLE RESTAURANT,MANHATTAN,605,HUDSON STREET,10014,2122554406,French,2015-03-05,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,10.0,A,2015-03-05,2015-08-14,Cycle Inspection / Re-inspection
7865,40372357,MARINA CAFE,STATEN ISLAND,154,MANSION AVE,10308,7189673077,Italian,2015-07-16,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,13.0,A,2015-07-16,2015-08-14,Cycle Inspection / Re-inspection
7877,40372417,DON FILIPPO RESTAURANT,MANHATTAN,1133,LEXINGTON AVENUE                                  ,10075,2127443610,Italian,2015-01-20,Violations were cited in the following area(s).,09A,Canned food product observed dented and not segregated from other consumable food items.,Not Critical,7.0,A,2015-01-20,2015-08-14,Cycle Inspection / Initial Inspection
7902,40372422,BURGER KING,QUEENS,9283,QUEENS BOULEVARD,11374,7185750116,Hamburgers,2015-01-20,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,12.0,A,2015-01-20,2015-08-14,Cycle Inspection / Initial Inspection
7925,40372426,DAZIES RESTAURANT,QUEENS,3941,QUEENS BOULEVARD,11104,7187867013,Italian,2015-06-29,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12.0,A,2015-06-29,2015-08-14,Cycle Inspection / Re-inspection
7953,40372445,OMONIA CAFE,QUEENS,3220,BROADWAY,11106,7182746650,Greek,2014-10-29,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12.0,A,2014-10-29,2015-08-14,Cycle Inspection / Initial Inspection
7985,40372466,MURALS ON 54/RANDOLPHS'S,MANHATTAN,65,WEST   54 STREET                                  ,10019,2122477000,American ,2015-02-19,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,13.0,A,2015-02-19,2015-08-14,Cycle Inspection / Initial Inspection
8038,40372485,VETERANS OF FOREIGN WARS POST #107 CANTEEN,BROOKLYN,2414,GERRITSEN AVENUE,11229,7187696094,American ,2015-03-25,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8.0,A,2015-03-25,2015-08-14,Cycle Inspection / Initial Inspection
8048,40372523,CARUSO PIZZA #2,MANHATTAN,1,PENN PLAZA                                        ,10001,2126300321,Pizza,2014-10-07,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4.0,A,2014-10-07,2015-08-14,Cycle Inspection / Initial Inspection
8056,40372596,TROPICAL HOUSE BAKING CO.,BROOKLYN,267,SCHENECTADY AVENUE                                ,11213,7187739523,Bakery,2015-03-02,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,5.0,A,2015-03-02,2015-08-14,Cycle Inspection / Initial Inspection
8069,40372618,BURGER KING,QUEENS,15405,ROCKAWAY BOULEVARD,11434,7185275044,Hamburgers,2015-02-18,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,11.0,A,2015-02-18,2015-08-14,Cycle Inspection / Initial Inspection
8102,40372631,YANKEE JZ PIZZA,BRONX,1599,WESTCHESTER AVENUE,10472,7183284349,Pizza,2015-05-22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,A,2015-05-22,2015-08-14,Cycle Inspection / Initial Inspection
8145,40372694,CLINTON RESTAURANT,QUEENS,917,CLINTONVILLE STREET                               ,11357,7187464800,Italian,2015-02-10,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,7.0,A,2015-02-10,2015-08-14,Cycle Inspection / Initial Inspection
8171,40372787,SHABU-SHABU 70 RESTAURANT,MANHATTAN,314,EAST   70 STREET                                  ,10021,2128615635,Japanese,2015-06-05,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,11.0,A,2015-06-05,2015-08-14,Cycle Inspection / Re-inspection
8205,40372831,CHEN'S CHINESE,STATEN ISLAND,1434,RICHMOND ROAD,10304,7189795170,Chinese,2014-12-11,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10.0,A,2014-12-11,2015-08-14,Cycle Inspection / Initial Inspection
8213,40372944,THE GREEK CORNER,MANHATTAN,322,7 AVENUE                                          ,10001,2122390760,American ,2015-01-12,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10.0,A,2015-01-12,2015-08-14,Cycle Inspection / Initial Inspection
8251,40372971,RACQUET & TENNIS CLUB,MANHATTAN,370,PARK AVENUE                                       ,10022,2127539700,American ,2015-03-10,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140å¼ F to 70å¼ F or less within 2 hours, and from 70å¼ F to 41å¼ F or less within 4 additional hours.",Critical,12.0,A,2015-03-10,2015-08-14,Cycle Inspection / Initial Inspection
8268,40372999,CASA PEPE,BROOKLYN,114,BAYRIDGE AVENUE                                   ,11220,7188338865,Mexican,2015-03-31,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9.0,A,2015-03-31,2015-08-14,Cycle Inspection / Initial Inspection
8284,40373113,ASTRO RESTAURANT,MANHATTAN,101,WEST   55 STREET,10019,2124896284,American ,2015-04-01,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,11.0,A,2015-04-01,2015-08-14,Cycle Inspection / Re-inspection
8302,40373118,GOLDEN DOVE DINER,STATEN ISLAND,3281,RICHMOND AVENUE                                   ,10312,7189671900,American ,2015-07-29,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,24.0,,,2015-08-14,Cycle Inspection / Compliance Inspection
8341,40373160,KORNER PIZZERIA,BROOKLYN,226,CHURCH AVENUE,11218,7188533755,Pizza/Italian,2014-09-11,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2.0,A,2014-09-11,2015-08-14,Cycle Inspection / Initial Inspection
8350,40373272,HENRY'S END,BROOKLYN,44,HENRY STREET                                      ,11201,7188341776,American ,2015-07-24,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12.0,A,2015-07-24,2015-08-14,Cycle Inspection / Initial Inspection
8374,40373318,SOUEN RESTAURANT,MANHATTAN,210,6 AVENUE                                          ,10014,2128077421,Japanese,2014-09-02,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140å¼ F to 70å¼ F or less within 2 hours, and from 70å¼ F to 41å¼ F or less within 4 additional hours.",Critical,10.0,A,2014-09-02,2015-08-14,Cycle Inspection / Initial Inspection
8409,40373462,VILLA BERULIA,MANHATTAN,107,EAST   34 STREET                                  ,10016,2126891970,Italian,2014-08-30,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2.0,A,2014-08-30,2015-08-14,Cycle Inspection / Initial Inspection
8429,40373500,VICTOR'S CAFE,MANHATTAN,236,WEST   52 STREET,10019,2125867714,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2014-12-16,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9.0,A,2014-12-16,2015-08-14,Cycle Inspection / Initial Inspection
8439,40373597,PETES PIZZERIA & RESTAURANT,BROOKLYN,7522,3 AVENUE                                          ,11209,7187455442,Pizza/Italian,2014-12-16,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13.0,A,2014-12-16,2015-08-14,Cycle Inspection / Initial Inspection
8455,40373656,KEENS STEAKHOUSE,MANHATTAN,72,WEST 36th STREET,10018,2129473636,Steak,2015-07-29,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,13.0,A,2015-07-29,2015-08-14,Cycle Inspection / Re-inspection
8473,40373669,BAR 515,MANHATTAN,515,3 AVENUE,10016,2125323300,American ,2015-05-21,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,10.0,A,2015-05-21,2015-08-14,Cycle Inspection / Initial Inspection
8478,40373794,READY PENNY INN,QUEENS,3707,73 STREET,11372,7188997208,Irish,2015-08-10,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,7.0,A,2015-08-10,2015-08-14,Cycle Inspection / Re-inspection
8500,40373888,IL MULINO,MANHATTAN,86,WEST    3 STREET                                  ,10012,2126733783,Italian,2015-07-13,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,11.0,A,2015-07-13,2015-08-14,Cycle Inspection / Re-inspection
8538,40373889,FELIDIA RESTAURANT,MANHATTAN,243,EAST   58 STREET                                  ,10022,2127581479,Italian,2015-04-22,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,9.0,A,2015-04-22,2015-08-14,Cycle Inspection / Re-inspection
8548,40373909,MCDONALD'S,BROOKLYN,5804,CLARENDON ROAD                                    ,11203,7184510834,Hamburgers,2015-05-29,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,A,2015-05-29,2015-08-14,Cycle Inspection / Re-inspection
8579,40373912,THE MALT HOUSE,MANHATTAN,206,THOMPSON STREET                                   ,10012,2122287701,Armenian,2014-12-11,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140å¼ F to 70å¼ F or less within 2 hours, and from 70å¼ F to 41å¼ F or less within 4 additional hours.",Critical,10.0,A,2014-12-11,2015-08-14,Cycle Inspection / Initial Inspection
